# param.mu, C, rho1, rho2, EG

1.700010000000000e+00 3.149451985738284e-01 7.174851649004027e-01 7.174006594908447e-01 -1.534605323735511e+00
1.800010000000001e+00 3.055045830573576e-01 7.309294886396126e-01 7.293525472146144e-01 -1.619765716736342e+00
1.900010000000000e+00 2.958043923911857e-01 7.439950028680805e-01 7.466141314614470e-01 -1.711890523049909e+00
2.000010000000000e+00 2.860442599809270e-01 7.564811337221296e-01 7.586280023346359e-01 -1.801160971583373e+00
2.100010000000001e+00 2.762111189643617e-01 7.684803108302097e-01 7.709507186591846e-01 -1.892621397083374e+00
2.200010000000000e+00 2.662034308726360e-01 7.801733782884701e-01 7.836613240594988e-01 -1.986429422628914e+00
2.300010000000001e+00 2.504621268772531e-01 7.976215246389994e-01 7.980131480758887e-01 -2.085449978672739e+00
2.400010000000000e+00 2.391620370269585e-01 8.095623987849291e-01 8.114396644871003e-01 -2.184372617963710e+00
2.500010000000000e+00 2.268200051033485e-01 8.221135705287046e-01 8.247101158077610e-01 -2.285357847142362e+00
2.600010000000001e+00 2.132281578350762e-01 8.354104231678178e-01 8.376278945722345e-01 -2.388186336088733e+00
2.700010000000000e+00 1.984936506415983e-01 8.492795762023256e-01 8.502642888547911e-01 -2.492886366188032e+00
2.800010000000001e+00 1.834252451527453e-01 8.629422726728411e-01 8.626217235885643e-01 -2.599223467738695e+00
2.900010000000000e+00 1.688775615775277e-01 8.756749705627180e-01 8.782433600248317e-01 -2.712067910521128e+00
3.000010000000000e+00 1.548907307352799e-01 8.875255596985656e-01 8.900918786162938e-01 -2.821325776294760e+00
3.100010000000001e+00 1.349427438146431e-01 9.038088376124194e-01 9.041070348336160e-01 -2.937221385685361e+00
3.200010000000000e+00 1.205902718533986e-01 9.151384602365311e-01 9.167496652618163e-01 -3.051620432091382e+00
3.300010000000001e+00 1.046674604393284e-01 9.273619633916403e-01 9.297921506603335e-01 -3.168981034395656e+00
3.400010000000000e+00 8.681465963490634e-02 9.406684171082225e-01 9.425654599254281e-01 -3.288321666761498e+00
3.500010000000000e+00 6.863291658407281e-02 9.538253927038614e-01 9.544455523023322e-01 -3.408116611699637e+00
3.600010000000001e+00 5.311913040142245e-02 9.647431529785687e-01 9.665800691653627e-01 -3.529510586876610e+00
3.700010000000000e+00 3.511984125191755e-02 9.770380317103794e-01 9.776139010766531e-01 -3.651235690167592e+00
3.800010000000001e+00 2.138134143820811e-02 9.861885778058986e-01 9.873679447486020e-01 -3.771148602074373e+00
3.900010000000000e+00 5.993224776613796e-03 9.961924208810655e-01 9.966175006259721e-01 -3.891982535764945e+00
