# param.mu, -tC, rho1, E_exact*2/z, rho_exact

-1.028417124746190e+00 -4.543175576821748e-01 3.430332950684186e-01 -4.541568214448761e-01 3.429122823628351e-01
-1.018417124746190e+00 -4.553733712963451e-01 3.445813996958880e-01 -4.552369303123495e-01 3.444953727846121e-01
-1.008417124746190e+00 -4.564207622979137e-01 3.461320021978294e-01 -4.563053144037854e-01 3.460767302170323e-01
-9.984171247461902e-01 -4.574605650123892e-01 3.476864479997626e-01 -4.573620118125743e-01 3.476563770636836e-01
-9.884171247461901e-01 -4.584937737343179e-01 3.492463783111352e-01 -4.584070600612919e-01 3.492343355428201e-01
-9.784171247461901e-01 -4.595212311093264e-01 3.508132668127080e-01 -4.594404961087854e-01 3.508106276906361e-01
-9.684171247461901e-01 -4.605430895543278e-01 3.523875767435797e-01 -4.604623563571197e-01 3.523852753644856e-01
-9.584171247461901e-01 -4.615582367072055e-01 3.539678102067113e-01 -4.614726766583783e-01 3.539583002460481e-01
-9.484171247461901e-01 -4.625641757806642e-01 3.555502180388245e-01 -4.624714923213282e-01 3.555297238444426e-01
-9.384171247461901e-01 -4.635577496545457e-01 3.571298395349094e-01 -4.634588381179476e-01 3.570995674992898e-01
-9.284171247461901e-01 -4.645363395341334e-01 3.587023739162642e-01 -4.644347482898206e-01 3.586678523837257e-01
-9.184171247461901e-01 -4.654986327742296e-01 3.602654681954425e-01 -4.653992565544019e-01 3.602345995073654e-01
-9.084171247461903e-01 -4.664445552982675e-01 3.618187103780206e-01 -4.663523961111523e-01 3.617998297192195e-01
-8.984171247461903e-01 -4.673747351357652e-01 3.633628406131418e-01 -4.672941996475517e-01 3.633635637105646e-01
-8.884171247461903e-01 -4.682899909913100e-01 3.648989526248745e-01 -4.682246993449859e-01 3.649258220177665e-01
-8.784171247461903e-01 -4.691910439031388e-01 3.664280221672273e-01 -4.691439268845162e-01 3.664866250250610e-01
-8.684171247461903e-01 -4.700784220291880e-01 3.679507365367946e-01 -4.700519134525281e-01 3.680459929672892e-01
